ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00110187;Nicolai;Remberg;Remberg;Nicolai Remberg;Hamburger SV;MIDFIELDER;2000000;116;3.64
pl-k00110266;Thijs;Dallinga;Dallinga;Thijs Dallinga;1. FC Köln;FORWARD;1800000;0;0.0
pl-k00110339;Marcel;Hoffmeier;M. Hoffmeier;Marcel Hoffmeier;SC Paderborn 07;DEFENDER;1300000;0;0.0
pl-k00110422;Ayman;Azhil;Azhil;Ayman Azhil;Borussia Dortmund;MIDFIELDER;500000;0;0.0
pl-k00110959;Yannik;Engelhardt;Engelhardt;Yannik Engelhardt;SC Freiburg;MIDFIELDER;2000000;99;3.82
pl-k00111315;Valentin;Gendrey;Gendrey;Valentin Gendrey;TSG Hoffenheim;DEFENDER;1200000;23;0.0
pl-k00111919;Max;Rosenfelder;Rosenfelder;Max Rosenfelder;SC Freiburg;DEFENDER;1700000;22;4.0
pl-k00111922;Lasse;Günther;La. Günther;Lasse Günther;SV Elversberg;DEFENDER;1600000;0;0.0
pl-k00111937;Tim;Lemperle;Lemperle;Tim Lemperle;TSG Hoffenheim;FORWARD;3000000;161;3.23
pl-k00112498;Tomas;Cvancara;Cvancara;Tomas Cvancara;Bor. Mönchengladbach;FORWARD;1400000;0;0.0
pl-k00112668;Sebastiaan;Bornauw;Bornauw;Sebastiaan Bornauw;Hamburger SV;DEFENDER;1800000;0;0.0
pl-k00112730;Jens;Castrop;Castrop;Jens Castrop;Bor. Mönchengladbach;MIDFIELDER;1700000;81;3.71
pl-k00112735;Bambasé;Conté;Conté;Bambasé Conté;TSG Hoffenheim;MIDFIELDER;2000000;0;0.0
pl-k00112775;Johan;Bakayoko;Bakayoko;Johan Bakayoko;RB Leipzig;FORWARD;2000000;54;3.72
pl-k00112924;Maarten;Vandevoordt;Vandevoordt;Maarten Vandevoordt;RB Leipzig;GOALKEEPER;3000000;81;2.92
pl-k00113079;Han-Noah;Massengo;Massengo;Han-Noah Massengo;FC Augsburg;MIDFIELDER;2000000;125;3.59
pl-k00113082;David;Herold;Herold;David Herold;Bor. Mönchengladbach;DEFENDER;1700000;0;0.0
pl-k00113185;Joe;Scally;Scally;Joe Scally;Bor. Mönchengladbach;DEFENDER;1600000;88;3.92
pl-k00113269;Luca;Sirch;Sirch;Luca Sirch;SV Elversberg;DEFENDER;1500000;0;0.0
pl-k00114376;Facundo;Medina;Medina;Facundo Medina;Bayer 04 Leverkusen;DEFENDER;2600000;0;0.0
pl-k00114601;Edmond;Tapsoba;Tapsoba;Edmond Tapsoba;Bayer 04 Leverkusen;DEFENDER;3500000;201;3.09
pl-k00114616;Andras;Schäfer;Schäfer;Andras Schäfer;1. FC Union Berlin;MIDFIELDER;1700000;78;3.68
pl-k00114736;Maximilian;Beier;Beier;Maximilian Beier;Borussia Dortmund;FORWARD;3600000;175;3.39
pl-k00114751;Leonidas;Stergiou;Stergiou;Leonidas Stergiou;VfB Stuttgart;DEFENDER;1000000;4;4.33
pl-k00115533;Igor;Matanovic;Matanovic;Igor Matanovic;SC Freiburg;FORWARD;3000000;150;3.35
pl-k00115737;Luis Fernando;Diaz Marulanda;Luis Diaz;Luis Diaz;Bayern München;FORWARD;7000000;287;2.89
pl-k00115990;Sacha;Boey;Boey;Sacha Boey;Bayern München;DEFENDER;1400000;28;3.5
pl-k00116302;Nicolas;Capaldo;Capaldo;Nicolas Capaldo;Hamburger SV;DEFENDER;2200000;124;3.35
pl-k00116369;Eric Junior;Dina Ebimbe;Dina Ebimbe;Eric Junior Dina Ebimbe;FC Schalke 04;MIDFIELDER;1600000;0;0.0
pl-k00116506;Fabio Daniel;Soares Silva;Fabio Silva;Fabio Silva;Borussia Dortmund;FORWARD;2500000;88;3.5
pl-k00116616;Tiago;Barreiros de Melo Tomas;Tiago Tomas;Tiago Tomas;VfB Stuttgart;MIDFIELDER;1800000;95;3.5
pl-k00116648;Ameen;Al-Dakhil;Al-Dakhil;Ameen Al-Dakhil;VfB Stuttgart;DEFENDER;1200000;20;3.6
pl-k00116706;Chrislain;Matsima;Matsima;Chrislain Matsima;FC Augsburg;DEFENDER;2300000;90;3.38
pl-k00116711;Adil;Aouchiche;Aouchiche;Adil Aouchiche;FC Schalke 04;MIDFIELDER;2300000;0;0.0
pl-k00116718;Nathanael;Mbuku;Mbuku;Nathanael Mbuku;FC Augsburg;FORWARD;1300000;0;0.0
pl-k00116762;Isak Bergmann;Johannesson;Johannesson;Isak Bergmann Johannesson;1. FC Köln;MIDFIELDER;1800000;103;3.67
pl-k00117115;Nicolas;Kristof;Kristof;Nicolas Kristof;SV Elversberg;GOALKEEPER;2400000;0;0.0
pl-k00117298;Jens;Stage;Stage;Jens Stage;Werder Bremen;MIDFIELDER;3600000;180;3.43
pl-k00117668;Yukhym;Konoplia;Konoplia;Yukhym Konoplia;Bor. Mönchengladbach;DEFENDER;1700000;0;0.0
pl-k00118051;Mio;Backhaus;Backhaus;Mio Backhaus;SC Freiburg;GOALKEEPER;3200000;230;2.88
pl-k00118061;Nnamdi;Collins;Collins;Nnamdi Collins;Eintracht Frankfurt;DEFENDER;1500000;47;4.03
pl-k00118068;Brajan;Gruda;Gruda;Brajan Gruda;RB Leipzig;MIDFIELDER;3200000;70;3.41
pl-k00118291;Ansgar;Knauff;Knauff;Ansgar Knauff;Eintracht Frankfurt;MIDFIELDER;1800000;64;3.97
pl-k00118312;Justin;Njinmah;Njinmah;Justin Njinmah;Werder Bremen;FORWARD;1700000;51;4.2
pl-k00118849;Maximilian;Rohr;Rohr;Maximilian Rohr;SV Elversberg;DEFENDER;1600000;0;0.0
pl-k00119391;Jano;ter Horst;ter Horst;Jano ter Horst;SC Paderborn 07;DEFENDER;1300000;0;0.0
pl-k00119414;Eric;Martel;Martel;Eric Martel;1. FSV Mainz 05;MIDFIELDER;1800000;113;3.65
pl-k00119669;Fisnik;Asllani;Asllani;Fisnik Asllani;TSG Hoffenheim;FORWARD;5000000;226;3.15
pl-k00119683;Frederik;Schmahl;Schmahl;Frederik Schmahl;SV Elversberg;MIDFIELDER;1300000;0;0.0
pl-k00119706;Eren;Dinkci;Dinkci;Eren Dinkci;Werder Bremen;MIDFIELDER;1500000;72;3.81
pl-k00119868;Tim;Breithaupt;Breithaupt;Tim Breithaupt;FC Augsburg;MIDFIELDER;600000;0;0.0
pl-k00119939;Fabio;Gruber;Gruber;Fabio Gruber;1. FSV Mainz 05;DEFENDER;1800000;0;0.0
pl-k00120042;Rayan;Philippe;Philippe;Rayan Philippe;Hamburger SV;FORWARD;1600000;58;4.12
pl-k00120073;Silas;Katompa Mvumpa;Silas;Silas;1. FSV Mainz 05;FORWARD;1500000;25;3.8
pl-k00121221;Alessio;Castro-Montes;Castro-Montes;Alessio Castro-Montes;1. FC Köln;DEFENDER;1400000;50;3.55
pl-k00121834;Anton;Kade;Kade;Anton Kade;FC Augsburg;MIDFIELDER;2400000;138;3.42
pl-k00121838;Keke;Topp;Topp;Keke Topp;Werder Bremen;FORWARD;1400000;23;4.5
pl-k00121839;Joey;Veerman;J. Veerman;Joey Veerman;Borussia Dortmund;MIDFIELDER;2800000;0;0.0
pl-k00121863;Justin;Diehl;Diehl;Justin Diehl;VfB Stuttgart;MIDFIELDER;1000000;0;0.0
pl-k00123098;Samuel;Mbangula;Mbangula;Samuel Mbangula;Werder Bremen;MIDFIELDER;1700000;52;4.11
pl-k00123123;Terem;Moffi;Moffi;Terem Moffi;Hamburger SV;FORWARD;2000000;0;0.0
pl-k00123373;Olivier;Deman;Deman;Olivier Deman;Werder Bremen;DEFENDER;1700000;77;3.4
pl-k00123434;Jonas;Urbig;Urbig;Jonas Urbig;Bayern München;GOALKEEPER;2000000;99;2.86
pl-k00123692;Satoshi;Tanaka;Tanaka;Satoshi Tanaka;FC Schalke 04;MIDFIELDER;1600000;0;0.0
pl-k00123744;Ezequiel;Fernandez;E. Fernandez;Ezequiel Fernandez;Bayer 04 Leverkusen;MIDFIELDER;2200000;53;3.66
pl-k00123991;Niels;Nkounkou;Nkounkou;Niels Nkounkou;Eintracht Frankfurt;DEFENDER;1200000;0;0.0
pl-k00124286;Mattes;Hansen;Hansen;Mattes Hansen;SC Paderborn 07;MIDFIELDER;1400000;0;0.0
pl-k00124479;Thomas;Kastanaras;Kastanaras;Thomas Kastanaras;FC Augsburg;FORWARD;500000;0;0.0
pl-k00125043;Nahuel;Noll;Noll;Nahuel Noll;SC Paderborn 07;GOALKEEPER;2400000;0;0.0
pl-k00125181;Michael;Olise;Olise;Michael Olise;Bayern München;FORWARD;8500000;348;2.55
pl-k00125269;Patrick;Wimmer;Wimmer;Patrick Wimmer;TSG Hoffenheim;MIDFIELDER;2000000;110;3.61
pl-k00125575;Lukasz;Poreba;Poreba;Lukasz Poreba;SV Elversberg;MIDFIELDER;1600000;0;0.0
pl-k00125811;Noel;Futkeu;Futkeu;Noel Futkeu;SV Elversberg;FORWARD;2000000;0;0.0
pl-k00125971;Rav;van den Berg;van den Berg;Rav van den Berg;1. FC Köln;DEFENDER;1500000;42;3.62
pl-k00126161;Yuito;Suzuki;Y. Suzuki;Yuito Suzuki;SC Freiburg;MIDFIELDER;2500000;113;3.48
pl-k00128262;Marco;Grüll;Grüll;Marco Grüll;Werder Bremen;FORWARD;1600000;43;4.21
pl-k00129004;Young-Woo;Seol;Seol;Young-Woo Seol;FC Augsburg;DEFENDER;1700000;0;0.0
pl-k00129118;Nathan;Tella;Tella;Nathan Tella;Bayer 04 Leverkusen;FORWARD;2200000;75;3.38
pl-k00129291;Loic;Badé;Badé;Loic Badé;Bayer 04 Leverkusen;DEFENDER;2300000;74;3.63
pl-k00129414;Arthur;Theate;Theate;Arthur Theate;Eintracht Frankfurt;DEFENDER;2200000;72;3.85
pl-k00129671;Nathaniel;Brown;Brown;Nathaniel Brown;Bayern München;DEFENDER;3600000;141;3.61
pl-k00130193;William;Böving;Böving;William Böving;1. FSV Mainz 05;MIDFIELDER;1300000;20;4.0
pl-k00130251;Junior;Adamu;Adamu;Junior Adamu;FC Schalke 04;FORWARD;1600000;23;4.0
pl-k00130252;Nicolas;Seiwald;Seiwald;Nicolas Seiwald;RB Leipzig;MIDFIELDER;2800000;150;3.35
pl-k00130503;Joel;Schmied;Schmied;Joel Schmied;1. FC Köln;DEFENDER;1500000;68;3.32
pl-k00130568;Gabriel;Vidovic;Vidovic;Gabriel Vidovic;SC Paderborn 07;MIDFIELDER;1700000;0;0.0
pl-k00130808;Karl;Hein;Hein;Karl Hein;Werder Bremen;GOALKEEPER;2400000;18;2.5
pl-k00130865;Tristan;Zobel;Zobel;Tristan Zobel;SC Paderborn 07;DEFENDER;500000;0;0.0
pl-k00131053;Tim;Oermann;Oermann;Tim Oermann;Bayer 04 Leverkusen;DEFENDER;1600000;4;0.0
pl-k00131067;Luka;Duric;Duric;Luka Duric;SC Paderborn 07;MIDFIELDER;1200000;2;0.0
pl-k00131115;Maximilian;Kinzig;Kinzig;Maximilian Kinzig;1. FSV Mainz 05;GOALKEEPER;500000;0;0.0
pl-k00131201;Soufiane;El-Faouzi;El-Faouzi;Soufiane El-Faouzi;FC Schalke 04;MIDFIELDER;2200000;0;0.0
pl-k00131359;Felix;Keidel;Keidel;Felix Keidel;SV Elversberg;DEFENDER;1000000;0;0.0
pl-k00131371;Silas;Ostrzinski;Ostrzinski;Silas Ostrzinski;Borussia Dortmund;GOALKEEPER;500000;0;0.0
pl-k00131599;Albian;Hajdari;Hajdari;Albian Hajdari;TSG Hoffenheim;DEFENDER;2400000;157;3.22
pl-k00131717;Imad;Rondic;Rondic;Imad Rondic;1. FC Köln;FORWARD;500000;0;0.0
pl-k00131777;Lorenz;Assignon;Assignon;Lorenz Assignon;VfB Stuttgart;DEFENDER;1700000;70;3.43
pl-k00131913;Derry;Scherhant;Scherhant;Derry Scherhant;SC Freiburg;FORWARD;1800000;105;3.5
pl-k00131930;Fabian;Rieder;Rieder;Fabian Rieder;FC Augsburg;MIDFIELDER;2400000;155;3.5
pl-k00132029;Lukas;Petersson;Petersson;Lukas Petersson;TSG Hoffenheim;GOALKEEPER;500000;0;0.0
pl-k00132107;Ismael;Saibari;Saibari;Ismael Saibari;Bayern München;FORWARD;4500000;0;0.0
pl-k00132180;Dennis;Seimen;Seimen;Dennis Seimen;VfB Stuttgart;GOALKEEPER;2600000;0;0.0
pl-k00132182;Julian;Pauli;Pauli;Julian Pauli;1. FC Köln;DEFENDER;800000;0;0.0
pl-k00132187;Tom;Bischof;Bischof;Tom Bischof;Bayern München;MIDFIELDER;3200000;131;3.03
pl-k00132188;Laurin;Ulrich;Ulrich;Laurin Ulrich;SC Paderborn 07;MIDFIELDER;1400000;0;0.0
pl-k00132190;Dzenan;Pejcinovic;Pejcinovic;Dzenan Pejcinovic;VfB Stuttgart;FORWARD;3200000;101;3.76
pl-k00132198;Arijon;Ibrahimovic;Ibrahimovic;Arijon Ibrahimovic;Bayern München;MIDFIELDER;1800000;111;3.73
pl-k00132205;Lukas;Ullrich;Ullrich;Lukas Ullrich;Bor. Mönchengladbach;DEFENDER;1400000;24;4.24
pl-k00132208;Warmed;Omari;Omari;Warmed Omari;Hamburger SV;DEFENDER;1500000;20;4.24
pl-k00132735;Albert;Grönbaek;Grönbaek;Albert Grönbaek;Hamburger SV;MIDFIELDER;1600000;25;4.0
pl-k00132800;Victor;Boniface;Boniface;Victor Boniface;Bayer 04 Leverkusen;FORWARD;2000000;16;4.2
pl-k00132810;Giannis;Konstantelias;Konstantelias;Giannis Konstantelias;Borussia Dortmund;MIDFIELDER;3000000;0;0.0
pl-k00133558;Zeno;van den Bosch;van den Bosch;Zeno van den Bosch;1. FC Union Berlin;DEFENDER;1800000;0;0.0
pl-k00133609;Carney;Chukwuemeka;Chukwuemeka;Carney Chukwuemeka;Borussia Dortmund;MIDFIELDER;2200000;71;3.7
pl-k00133786;Daniel;Svensson;Svensson;Daniel Svensson;Borussia Dortmund;DEFENDER;2600000;122;3.62
pl-k00134465;Maxime;Esteve;Esteve;Maxime Esteve;RB Leipzig;DEFENDER;2800000;0;0.0
pl-k00135025;Castello;Lukeba;Lukeba;Castello Lukeba;RB Leipzig;DEFENDER;3000000;139;3.16
pl-k00135660;Senne;Lynen;Lynen;Senne Lynen;Werder Bremen;MIDFIELDER;1900000;98;3.73
pl-k00136092;Adrian;Gantenbein;Gantenbein;Adrian Gantenbein;FC Schalke 04;DEFENDER;1000000;0;0.0
pl-k00136298;Bryan;Lasme;Lasme;Bryan Lasme;FC Schalke 04;FORWARD;800000;0;0.0
pl-k00136357;Tom;Rothe;Rothe;Tom Rothe;1. FC Union Berlin;DEFENDER;1500000;46;3.88
pl-k00136435;Alexander;Prass;Prass;Alexander Prass;TSG Hoffenheim;MIDFIELDER;1900000;123;3.34
pl-k00136443;Daniel;Elfadli;Elfadli;Daniel Elfadli;Hamburger SV;DEFENDER;1400000;61;3.63
pl-k00136514;Raphael;Onyedika;Onyedika;Raphael Onyedika;Eintracht Frankfurt;MIDFIELDER;2300000;0;0.0
pl-k00136673;El Chadaille;Bitshiabu;Bitshiabu;El Chadaille Bitshiabu;RB Leipzig;DEFENDER;1800000;32;3.69
pl-k00136677;Jordy;Makengo;Makengo;Jordy Makengo;SC Freiburg;DEFENDER;1600000;40;3.93
pl-k00137082;Leopold;Querfeld;Querfeld;Leopold Querfeld;1. FC Union Berlin;DEFENDER;2000000;124;3.68
pl-k00137331;Dariusz;Stalmach;Stalmach;Dariusz Stalmach;Werder Bremen;MIDFIELDER;1200000;0;0.0
pl-k00137848;Bilal;Nadir;Nadir;Bilal Nadir;Hamburger SV;MIDFIELDER;1500000;0;0.0
pl-k00137935;Fabio;Chiarodia;Chiarodia;Fabio Chiarodia;Bor. Mönchengladbach;DEFENDER;1300000;22;4.15
pl-k00137975;Luis;Seifert;Seifert;Luis Seifert;SV Elversberg;DEFENDER;500000;0;0.0
pl-k00138020;Aljoscha;Kemlein;Kemlein;Aljoscha Kemlein;1. FC Union Berlin;MIDFIELDER;1700000;86;3.73
pl-k00138223;Stefano;Marino;Marino;Stefano Marino;SC Paderborn 07;FORWARD;1500000;0;0.0
pl-k00138529;Aleksandar;Pavlovic;Pavlovic;Aleksandar Pavlovic;Bayern München;MIDFIELDER;3500000;112;3.28
pl-k00139040;Nediljko;Labrovic;Labrovic;Nediljko Labrovic;FC Augsburg;GOALKEEPER;800000;0;0.0
pl-k00139271;Kofi;Amoako;Amoako;Kofi Amoako;Hamburger SV;MIDFIELDER;1500000;0;0.0
pl-k00139273;Mert;Kömür;Kömür;Mert Kömür;FC Augsburg;MIDFIELDER;1700000;93;3.73
pl-k00139276;Noel;Aseko;Aseko;Noel Aseko;Eintracht Frankfurt;MIDFIELDER;2200000;0;0.0
pl-k00139305;Antonio;Nusa;Nusa;Antonio Nusa;RB Leipzig;FORWARD;3800000;162;3.32
pl-k00139342;Assan;Ouedraogo;Ouedraogo;Assan Ouedraogo;RB Leipzig;MIDFIELDER;3000000;109;3.14
pl-k00140561;Elias;Bakatukanda;Bakatukanda;Elias Bakatukanda;1. FC Köln;DEFENDER;500000;0;0.0
pl-k00140563;Max;Finkgräfe;Finkgräfe;Max Finkgräfe;RB Leipzig;DEFENDER;1400000;33;3.9
pl-k00140663;Ayoube;Amaimouni-Echghouyab;Amaimouni-Echghouyab;Ayoube Amaimouni-Echghouyab;Eintracht Frankfurt;MIDFIELDER;1600000;48;3.81
pl-k00140738;Jonah;Sticker;Sticker;Jonah Sticker;SC Paderborn 07;DEFENDER;1400000;0;0.0
pl-k00141205;Sander;Tangvik;Tangvik;Sander Tangvik;Hamburger SV;GOALKEEPER;800000;15;1.5
pl-k00141330;Maurice;Krattenmacher;Krattenmacher;Maurice Krattenmacher;SV Elversberg;MIDFIELDER;1300000;0;0.0
pl-k00141432;Marin;Ljubicic;Ljubicic;Marin Ljubicic;1. FC Union Berlin;FORWARD;1000000;10;0.0
pl-k00141453;Noah;Darvich;Darvich;Noah Darvich;SV Elversberg;MIDFIELDER;1500000;0;0.0
pl-k00141455;Finn;Jeltsch;Jeltsch;Finn Jeltsch;VfB Stuttgart;DEFENDER;2200000;95;3.35
pl-k00141456;Max;Moerstedt;Moerstedt;Max Moerstedt;TSG Hoffenheim;FORWARD;1700000;54;3.38
pl-k00141500;Jobe;Bellingham;Bellingham;Jobe Bellingham;Borussia Dortmund;MIDFIELDER;2700000;110;3.41
pl-k00141535;Sima;Suso;Suso;Sima Suso;FC Augsburg;MIDFIELDER;800000;0;0.0
pl-k00141638;Vitalie;Becker;V. Becker;Vitalie Becker;FC Schalke 04;DEFENDER;1300000;0;0.0
pl-k00141756;Elias;Baum;Baum;Elias Baum;Eintracht Frankfurt;DEFENDER;1700000;4;5.0
pl-k00143035;Rodrigo;Ribeiro;Ribeiro;Rodrigo Ribeiro;FC Augsburg;FORWARD;1500000;16;4.18
pl-k00143036;Romulo José;Cardoso da Cruz;Romulo;Romulo;RB Leipzig;FORWARD;2800000;143;3.6
pl-k00143372;Emil;Höjlund;E. Höjlund;Emil Höjlund;FC Schalke 04;FORWARD;600000;0;0.0
pl-k00143407;Luca;Jaquez;Jaquez;Luca Jaquez;VfB Stuttgart;DEFENDER;1600000;46;3.59
pl-k00143483;Jarell;Quansah;Quansah;Jarell Quansah;Bayer 04 Leverkusen;DEFENDER;3200000;135;3.44
pl-k00143503;Martin;Adeline;Adeline;Martin Adeline;Hamburger SV;MIDFIELDER;1800000;0;0.0
pl-k00143858;Filippo;Mane;Mane;Filippo Mane;Borussia Dortmund;DEFENDER;1200000;-4;4.75
pl-k00143938;Jeanuel;Belocian;Belocian;Jeanuel Belocian;Bayer 04 Leverkusen;DEFENDER;1600000;50;3.92
pl-k00144073;Berkay;Yilmaz;Yilmaz;Berkay Yilmaz;SC Freiburg;DEFENDER;1700000;0;0.0
pl-k00144321;David;Mokwa;Mokwa;David Mokwa;SV Elversberg;FORWARD;1600000;0;0.0
pl-k00144420;Sota;Kawasaki;Kawasaki;Sota Kawasaki;1. FSV Mainz 05;MIDFIELDER;1200000;14;4.25
pl-k00144663;Bilal;El Khannouss;El Khannouss;Bilal El Khannouss;VfB Stuttgart;MIDFIELDER;3000000;133;3.29
pl-k00144701;Oskar;Wojcik;Wojcik;Oskar Wojcik;Werder Bremen;DEFENDER;1600000;0;0.0
pl-k00144843;Arthur Augusto;de Matos Soares;Arthur;Arthur;Bayer 04 Leverkusen;DEFENDER;1600000;61;3.74
pl-k00145004;Julian;Malatini;Malatini;Julian Malatini;Werder Bremen;DEFENDER;1200000;8;4.25
pl-k00145381;Adam;Daghim;Daghim;Adam Daghim;TSG Hoffenheim;FORWARD;1700000;62;3.87
pl-k00145594;Arthur;Largura Chaves;Arthur Chaves;Arthur Chaves;TSG Hoffenheim;DEFENDER;1500000;56;3.62
pl-k00146024;Jonathan;Friemel;Friemel;Jonathan Friemel;1. FC Köln;MIDFIELDER;500000;0;0.0
pl-k00146030;Francis;Onyeka;Onyeka;Francis Onyeka;SV Elversberg;MIDFIELDER;1800000;0;0.0
pl-k00146044;Arthur;Vermeeren;Vermeeren;Arthur Vermeeren;RB Leipzig;MIDFIELDER;1600000;0;0.0
pl-k00146179;Afonso;Moreira;Moreira;Afonso Moreira;Bayer 04 Leverkusen;FORWARD;3500000;0;0.0
pl-k00146229;Ezechiel;Banzuzi;Banzuzi;Ezechiel Banzuzi;RB Leipzig;MIDFIELDER;1800000;52;3.56
pl-k00146283;Mertcan;Ayhan;Ayhan;Mertcan Ayhan;FC Schalke 04;DEFENDER;1600000;0;0.0
pl-k00146292;Can;Uzun;Uzun;Can Uzun;Eintracht Frankfurt;MIDFIELDER;3500000;140;3.25
pl-k00146306;Max;Grüger;Grüger;Max Grüger;FC Schalke 04;MIDFIELDER;500000;0;0.0
pl-k00146323;Oscar;Höjlund;O. Höjlund;Oscar Höjlund;Eintracht Frankfurt;MIDFIELDER;1500000;52;3.91
pl-k00147890;Robin;Hranac;Hranac;Robin Hranac;TSG Hoffenheim;DEFENDER;2200000;141;3.25
pl-k00147901;Skelly;Alvero;Alvero;Skelly Alvero;Werder Bremen;MIDFIELDER;1000000;6;3.0
pl-k00148104;Sean;Dulic;Dulic;Sean Dulic;TSG Hoffenheim;DEFENDER;1000000;0;0.0
pl-k00148187;Fares;Chaibi;Chaibi;Fares Chaibi;Eintracht Frankfurt;MIDFIELDER;1800000;87;3.88
pl-k00148193;Sebastian;Sebulonsen;Sebulonsen;Sebastian Sebulonsen;1. FC Köln;DEFENDER;1800000;100;3.65
pl-k00148500;Nyamekye;Awortwie-Grant;Awortwie-Grant;Nyamekye Awortwie-Grant;SC Paderborn 07;DEFENDER;1000000;0;0.0
pl-k00148669;Filimon;Gerezgiher;F. Gerezgiher;Filimon Gerezgiher;SV Elversberg;MIDFIELDER;500000;0;0.0
pl-k00149094;Jean-Matteo;Bahoya;Bahoya;Jean-Matteo Bahoya;Eintracht Frankfurt;MIDFIELDER;1800000;74;3.92
pl-k00149146;Ibrahim;Maza;Maza;Ibrahim Maza;Bayer 04 Leverkusen;MIDFIELDER;3800000;177;3.02
pl-k00149290;Eliesse;Ben Seghir;Ben Seghir;Eliesse Ben Seghir;Bayer 04 Leverkusen;FORWARD;1800000;16;4.0
pl-k00149406;Ruben;Müller;Müller;Ruben Müller;SC Paderborn 07;DEFENDER;1300000;0;0.0
pl-k00149407;Bruno;Ogbus;Ogbus;Bruno Ogbus;SC Freiburg;DEFENDER;1700000;54;3.67
pl-k00149508;Ilyas;Ansah;Ansah;Ilyas Ansah;1. FC Union Berlin;FORWARD;2200000;122;3.64
pl-k00149538;Joel;Agyekum;Agyekum;Joel Agyekum;Hamburger SV;DEFENDER;500000;0;0.0
pl-k00149673;Hennes;Behrens;Behrens;Hennes Behrens;FC Augsburg;DEFENDER;1800000;77;3.4
pl-k00149976;Albert;Millgramm;A. Millgramm;Albert Millgramm;SC Paderborn 07;FORWARD;500000;0;0.0
pl-k00150252;Jeremiaha;Maluze;Maluze;Jeremiaha Maluze;Eintracht Frankfurt;DEFENDER;600000;0;0.0
pl-k00150671;Andrej;Ilic;Ilic;Andrej Ilic;1. FC Union Berlin;FORWARD;2000000;120;3.78
pl-k00150682;Badredine;Bouanani;Bouanani;Badredine Bouanani;VfB Stuttgart;MIDFIELDER;1600000;28;4.0
pl-k00151054;Hugo;Larsson;Larsson;Hugo Larsson;Eintracht Frankfurt;MIDFIELDER;2000000;54;4.02
pl-k00151361;Jarzinho;Malanga;Malanga;Jarzinho Malanga;VfB Stuttgart;MIDFIELDER;1000000;0;0.0
pl-k00151366;Montrell;Culbreath;Culbreath;Montrell Culbreath;Bayer 04 Leverkusen;MIDFIELDER;1700000;36;3.75
pl-k00151371;Otto;Stange;Stange;Otto Stange;Hamburger SV;FORWARD;1200000;4;4.5
pl-k00151839;Tim;Binder;Binder;Tim Binder;Bayern München;FORWARD;1000000;0;0.0
pl-k00152535;Otto;Ruoppi;Ruoppi;Otto Ruoppi;1. FSV Mainz 05;MIDFIELDER;1300000;0;0.0
pl-k00153331;Hasan;Kurucay;Kurucay;Hasan Kurucay;FC Schalke 04;DEFENDER;2000000;0;0.0
pl-k00153662;Kaishu;Sano;Kai. Sano;Kaishu Sano;1. FSV Mainz 05;MIDFIELDER;3400000;198;3.16
pl-k00153733;Cole;Campbell;Campbell;Cole Campbell;SV Elversberg;MIDFIELDER;1500000;12;3.5
pl-k00153893;Rihito;Yamamoto;R. Yamamoto;Rihito Yamamoto;SC Freiburg;MIDFIELDER;2000000;0;0.0
pl-k00154032;Mats;Heitmann;Heitmann;Mats Heitmann;Werder Bremen;DEFENDER;500000;0;0.0
pl-k00154172;Mats;Rots;M. Rots;Mats Rots;TSG Hoffenheim;DEFENDER;2000000;0;0.0
pl-k00154239;Younes;Ebnoutalib;Ebnoutalib;Younes Ebnoutalib;Eintracht Frankfurt;FORWARD;2200000;23;2.0
pl-k00154311;Deniz;Zeitler;Zeitler;Deniz Zeitler;SC Paderborn 07;FORWARD;1000000;0;0.0
pl-k00154546;Noahkai;Banks;Banks;Noahkai Banks;FC Augsburg;DEFENDER;1700000;86;3.61
pl-k00154597;Santiago;Castaneda;Castaneda;Santiago Castaneda;SC Paderborn 07;MIDFIELDER;1700000;0;0.0
pl-k00154820;Fritz;Fleck;Fleck;Fritz Fleck;Bor. Mönchengladbach;MIDFIELDER;500000;0;0.0
pl-k00154904;Kennedy;Okpala;Okpala;Kennedy Okpala;SC Paderborn 07;FORWARD;1200000;0;0.0
pl-k00155136;Kaua;Morais Vieira dos Santos;Kaua Santos;Kaua Santos;Eintracht Frankfurt;GOALKEEPER;2400000;30;4.0
pl-k00155808;Livan;Burcu;Burcu;Livan Burcu;1. FC Union Berlin;FORWARD;1500000;52;3.59
pl-k00156015;Lennart;Karl;Karl;Lennart Karl;Bayern München;MIDFIELDER;3300000;136;3.25
pl-k00156019;Wisdom;Mike;Mike;Wisdom Mike;Bayern München;FORWARD;800000;8;0.0
pl-k00156020;Mathieu;Nguefack;Nguefack;Mathieu Nguefack;Bor. Mönchengladbach;MIDFIELDER;500000;0;0.0
pl-k00156023;Faik;Sakar;Sakar;Faik Sakar;FC Augsburg;FORWARD;500000;0;0.0
pl-k00156279;Conrad;Harder;Harder;Conrad Harder;RB Leipzig;FORWARD;2200000;75;3.79
pl-k00156434;Leon;Avdullahu;Avdullahu;Leon Avdullahu;TSG Hoffenheim;MIDFIELDER;3200000;196;3.03
pl-k00156585;Joane;Gadou;Gadou;Joane Gadou;Borussia Dortmund;DEFENDER;2300000;0;0.0
pl-k00156588;Tidiam;Gomis;Gomis;Tidiam Gomis;RB Leipzig;FORWARD;1700000;45;3.38
